Emotion,keywords
neutral,--
neutral, 
anger, 
neutral, 
neutral, 
neutral, 
neutral, 
sadness, 
neutral, 
neutral, 
joy, 
neutral, 
sadness, 
neutral, 
neutral, 
neutral, 
neutral, 
sadness, 
neutral, 
neutral, 
neutral, 
neutral, 
neutral, 
anger, 
neutral, 
neutral, 
neutral, 
neutral, 
neutral, 
neutral,  
neutral,  
neutral,  
neutral,  
anger,  
neutral,  
neutral,  
neutral,  
neutral,  
anger,       
fear,              ltso bet u mr la day haaaaaa
joy,              thank god lot thankful tmrw
sadness,            forgot cause apply college finally
joy,            quotall days hand oh godquot whheww song
surprise,          breakfast dinner cuz contribute eggs
fear,          cumminscutting lead attack  years  ambrosewalsh
fear,          cumminscutting lead attack  years  ambrosewalsh
surprise,          discussed yesterday isit mrcarter
sadness,          got work morning fun 
surprise,          hoe maak je een enge spook 
surprise,          id plead guilty fresher
joy,          oh yes nice included fun trips
fear,          throw khawaja  wade  warner suddenly weve got match winners
sadness,          twitter person year end
joy,          working like slave dentist
sadness,         drifting shit fort mall parking lot
joy,        ah√≠ se man una por men el q les vaya bien la otra invitan slds
sadness,        albinism saddest thing spectacular offered grinding competition
surprise,        asan na yung mowait nmin kahapon paheheheh atat lang
joy,        blessings you eliza  rose jacq amp virtuous woman amp yours ino lordty
fear,        bob like head come saturday morning 
fear,        bob like head come saturday morning 
fear,        c est normal que les gens ne r√©pondent pas aux mains pour les stages 
joy,        fans thank you waiting room ophthalmologists office
fear,        fear unavoidable workplace hazard drinkthroughit
disgust,        found hurtful judgement look words scoff
joy,        gym self discipline cross fit swim
joy,        haha spend day it fun x
surprise,        happy anniversary dearest sister law
fear,        heart rate rising
surprise,        hell yeah lmao doin lol
joy,        hey guys wag kalimutan gift nyo sakin sa sunday ha pabaon nyohehe thanks
joy,        kayley looks gorgeous wonderful way spread  
surprise,        lol yeh yall r gonna  oclock wake calls days lol
surprise,        nada anaberta lo mereces  pero nos da√±aste un poco la jajaja xd
sadness,        ohh okay booth pizza thingy man òπ
sadness,        queeee chin lo recordaba hagamos falta colectiva como en la escuela ò∫
disgust,        sad thing ready good job knicks knicks fans
joy,        spped wish ya good night amp sweet dreams  happy friday amp
joy,        thank yall making day bearable
fear,        thanks making night special consider early christmas present
joy,        try select seat window seat somebody selected aisle
surprise,        trying hard charlotte time yall night
fear,        whats going happen pass watershed
joy,        wson ok mock pho leaping  hr officemax logo wall
surprise,       alli√©es c est pas smal et les opposants sont pas tjrs ceux qu croit
surprise,      actually surprised treatment here yre actually helping me alekwaed
surprise,      also religious hate ignorant people ive sned yet
surprise,      asked question loganand learn answer morrow
sadness,      bad news guys cant annymore pic sis airport sorry
surprise,      best record fair play find players fucked mins lazy
surprise,      big ass regalo
fear,      big life ian brown
sadness,      brandon roy set retire knee issues
surprise,      bwahaha alam ko na sagot dun pards e ikaw ayaw share sa akin plans m haha 
joy,      c mcflys old days found m fletcher wrote xd
surprise,      cant wait girls night yeah were home
sadness,      ce tweet provoque chez moun grand sentiment de d√©pression
sadness,      cod games spawning issue
sadness,      eternal eternal josh sleepwithjosh   pls prettyplease charitywork spotinheaven
joy,      finally done with huck finn essaydone  atph
joy,      got sun microsystem qwerty keyboard brand new mouse genuine pack
surprise,      haha ill tie guys post
sadness,      hate gone day miss west point
joy,      hey guys wag kalimutan gift nyo sakin sa sunday ha pabaon nyohehe thanks
surprise,      hope rest mls dismissive morrow beita etr were
fear,      kind hurting daybut probably getting me
surprise,      law egypt illegal marry younger  years age
surprise,      lmbo hahaha ld u man mom knew dad going find outsmh
sadness,      lost twitter convo shell real convo
anger,      making obvious joke wish nannying fuckers fuck off frankly
disgust,      matt wears cologne smell facebook pictures yearofbigdicks
fear,      memory sat suicidal days
surprise,      milner lennon meeting sweet odont brea word sean tears
surprise,      missed greatly  minutes late lol
sadness,      missed school day missed band class choir 
sadness,      night bitches  leave hanging oh getdevoured nightynight
surprise,      ohmygawdu guys like marianas trench met columbus earlier year d d
surprise,      ooh gem coming home weekend morrow
joy,      pancakes maple syrup bacon
fear,      parked old mans house staring window nodding head psycho
joy,      questionmoney behars air 
fear,      respects grapes hes batshit insane maybe mase channeling hextall
sadness,      saw santa mall yesterday u needa  pic him
sadness,      sorely missed television continue read work
joy,      staff party sun bodega tally come bastyan o useless
joy,      thats funny pete hate baseball haha thing care
surprise,      thinking epic morning was epic sillystringat
surprise,      thought mark clear winner 
sadness,      u missed point auch dry spell desserts feel
fear,      whatever cfb acting urban sweetness minds urbanessment
anger,      woman like   perfect  come looking busted
surprise,      yeh fun dress girls going hottest place wn
joy,      yep little chunder monkey work yesterday stay till  sales
fear,     jest  dare meet time space probably collapse us
joy,     miss really lounge eusn waiting come home eating body weight pretzels
anger,     pity fool ok call lol cusmer service places day age terrible
fear,     ready marriage  thinking   thirty years old   got entire life ahead  adventures waiting   settle 
fear,     xaxaadd things sympm called nervoso xaxau wanna learn [
fear,     xaxaadd things sympm called nervoso xaxau wanna learn [
sadness,    able guys ur digiur fun guys
surprise,    act  scene unexpectedly arrive pearl river wtf
sadness,    agree paul lost friends got papers
disgust,    agreed pretty gross especially online final on
surprise,    ahh damnit  thing ld  excited though
joy,    amazing night thanks sharing talent chgo bless you
sadness,    amazing u truely love u bothit hurts u guys fight
fear,    amp u patic cowards copy post scared wuld know desperate become mccann
surprise,    asked tam m cruise says hes allowed
fear,    au contraire vu que la redevance sapplique au contenu obtenu l√©galement faut laugmenter
surprise,    b pm  telling mum b bday dinner
sadness,    bad europeans allready claude figure bat wouldve nice 
fear,    ben tu nas pas le choix pour une fois 
fear,    bianca talented  surprised  maya pll
sadness,    blast wouldve loved shot beautiful display
sadness,    bright side hall looks amazing  days improper religion
surprise,    calls tries sell something hang up helk ask credit card number
sadness,    cant sex line 
anger,    care   indifferent husband 
anger,    care   indifferent husband 
joy,    charitable organization gives sick kids america amp magic cards
surprise,    clear schedule ¢¢ pack bags fijlol
surprise,    coming stay yall week
joy,    confused  science test morrow 
joy,    constant pain back
fear,    convo star asked whilst sitting penarth pier
surprise,    cookies closet mice turned annoy anymore
joy,    country music death back
fear,    crime nvr lower amp   screaming police amp bigger jails greed
joy,    define quotridequot imagination running amok oh soon cut style hair o
sadness,    dis blow u going hear quotcampionitequot start it
sadness,    doesnt suck ur interpretations suck drop m follow reminders
sadness,    earrings u find bora bora oh no
sadness,    eat search search peanuts good d hot person hotpeoplearegood
joy,    eir got sick meds work migraine nauseated day long cant find debit card
joy,    el thrilling day meeting contracrs involved building house
fear,    et   mont trouv√©e sur la pho de e donc la meme tete quen e 
fear,    exciting except yerno finished essay translation
fear,    exciting except yerno finished essay translation
disgust,    fanuary b disgusting laura god female wil sponsorship cause
joy,    felt elses success truly love chrisrene heartxall
surprise,    figured out yay me however grams tally dark
joy,    fine  outfit looking fit
surprise,    fiquesuper curiosa porque afinal de contasqual dos milhares de figurinos da gaga
joy,    flu turned sinus infection not
fear,    food larger crowd seen time
sadness,    forget word   remove livesoklt happy sad
joy,    forgot password manyeah 
joy,    found black roxy boots year ts forgot m like new boots
joy,    fue una amiga de ustedes que se cago rt   shit pants pure  gravy
disgust,    fux wit dat adlib  rijboe verse 
anger,    getting live stream chat home
sadness,    glad parents dont copy
joy,    goin brave wnxmas shopping
fear,    going friends band play night midland hypakritz tequila killya
fear,    going friends band play night midland hypakritz tequila killya
sadness,    going use twitter anymore cuz dont love
surprise,    going wear mysterious shirt no  
surprise,    gone weekend afterall evan bailed home natalie exams weekend
sadness,    gonna cry college day high school
joy,    good hey things looking up thursday night football  not
surprise,    goodies came mail yesterday wonder guess is 
joy,    great computerhoven got nominated soul period
disgust,    great movie favorites shedevil ruined
joy,    greatttt means bobbys trashed self going come room kick over
joy,    groc sres madison wahead b going out recipe  create 
sadness,    guys know connect hang outs app sure butn push
joy,    guys pretty cats jammies great job day nick u reminded bring outstart advent
joy,    ha morning real here team
surprise,    haha guys thought seeing hot snakes weekend
fear,    haha like seeing bear sober
fear,    haha like seeing bear sober
surprise,    haha love that finding expected
anger,    hahah yes remember kick becca face
surprise,    hahaha yes am returning satv week tell lee
sadness,    hate box sres remember home wn annihilated wal mart
disgust,    heartbroken looked
joy,    hell naw dnt wana c u naked lmao bahahahahahahahaha lt~~~ oh look res hater following me lol
surprise,    hell yeah excited secret santa know getting person 
anger,    hit girls kiss lips afterward cuz feel bad
surprise,    hope guys enjoyed seeing face smashed bus window staring guys imnotcreepyatall
surprise,    ht know going lets meet magical field rape sex
joy,    idk fourth time ive started gain lol
fear,    ill cry wanna die 
sadness,    ill send cd lol  youvsp bitch come
surprise,    ive pregnant guys entire time weve known eachor
fear,    je napas dis que c√©tait beau jimagine dans ans
fear,    je sais pas javu ups livr√©  fois je lavu sortir mes colis entre le tret le quotje jet car cest pas celul√†quot
surprise,    je vendredou samedmatin jespere ramen√© en pour une d√©bauche digne de ce nom
sadness,    jealousy playing near rest year 
fear,    know joking cos family thought drink gives
fear,    know joking cos family thought drink gives
joy,    know sounds lame tired ive gotta  hours
joy,    know time re ill loitering delsampling mulled wine cured meats
sadness,    ladies trying spokesperson   joke
joy,    late night practices best realize  test amp  quiz study amp 
surprise,    ld color gonna twipic morrow job tho gonna black asap
sadness,    left bored making weird noises answering
surprise,    like  minutes away eachor ready come visit
surprise,    like magician jus vanishes maybe shunt ld roofy fb new haha
surprise,    lol day life ryerson student haha funny walking some wn
fear,    lol new somalbrodaas discipline
anger,    looks like hes crashing parents gave old room family dog management needed
sadness,    love see desperate seealas tickets available weekend
surprise,    loved watching people create rumors crazy talk starts
joy,    loving connections made
joy,    lynne blame talk christmas pillowcases shall flannel ones
fear,    man james kill do yre afraid kobe cp blackmamba
joy,    marcel tryinng sound smart lls u know u gooogle boyyy
surprise,    met bola shopping supermarkets wn kampala huge jc fan pleasant
fear,    mga twalang kupas ang pagka pick material sa oks grabe na gyud nchange terriry lang
anger,    mishamisha fucking cunt born cunt die cunt fucking cunt
anger,    miss carmen u need control ask joey good job 
sadness,    missed exhausted fell asleep 
sadness,    missing nugget night thanksgiving dinner solid replacement acceptance mowface
sadness,    morrow looks coke day boom baby hislogy anamy
fear,    narrowly escaped left solo  children
fear,    narrowly escaped left solo  children
surprise,    nee glossy box heb ik nog niet gekregenjij wel niet zeggen wat erin zit ik wil gehehouden
surprise,    need excuse cameo dinner party
sadness,    needs laid real bad like reeaaal bad n like  tweets now hes buddy
surprise,    nice mention twitter
joy,    nope stay holidays getatme
surprise,    note guess liked pho
joy,    notice penis comment lls
surprise,    nunca vis nada explotar tan bas mientras cepillaba los dientes ajjajajajajaja ha sido en plan
surprise,    oh shit   live day trickortreat
surprise,    oh wait shocking littledidyouknowthat hash tag incorrect
fear,    ohh okaayy ill text  dogs away pleasee  know scared
sadness,    ohh think boring wn wn lol
anger,    ohh yeh unlucky got kaka pack accidently quicksold him
anger,    omar calm context meant losing battle words lol
joy,    oreo tasteless found jacobs cream crackers discount sre backlol
surprise,    p haha mad huney  gonna draw day right  
anger,    parents let throw az london  years old building raaaage hulk
surprise,    pleased know pie made
fear,    plz dun tell jay disclosed ep jk ekekekekeke
surprise,    poor person gets blood yre gonna feel it lol
surprise,    pot kettle black ha think following
fear,    pour le lol jaeu un client ou un interlocuteur portait ce nom
sadness,    prepared   dude it like hot sauce wings occupybeauregards
fear,    prop control markets banksters democracys worldwide
anger,    r u calling obama slick talker hes slick teleprompter reader shows
sadness,    rah peut rien de cacher  je pleurs utes les larmes de mon corps
fear,    reason people talk peoples backs
surprise,    right end want hear thing shout you 
surprise,    ron cola brugal colaron fanta naranjacambio alcohol por palomitas de maiz jejejeeje muacks os quiero
surprise,    saa kulula time realise best good enough  
sadness,    sad hilarious lunch joeys gone 
sadness,    sad newsour giant ice cream cone gone
anger,    said watching harry potter  prisoner alcatraz 
disgust,    sand shit big har heard got lot
sadness,    saw poster rickshaw daybharat se rishta kya nafrat ka inteqaam ka
sadness,    shame realise system drains you auspol omel
sadness,    shit hurt feelings unfollowing one 
surprise,    sleeves parents xmas present pretty amazing 
anger,    social lives decreasing  bloody work 
surprise,    sooo idk brittany ld notbut going iron bowl yall saturday
disgust,    sorry boutcha pretty clear va jay jays buttspoop puke
fear,    sound bob sounds ugh
joy,    sounds good long drive brisl awaits me
sadness,    stay munchie dreams abt snack closet old house wake  ¶w munchies
fear,    surf sunday day muizenberg south africa got hours waves shark alerts
surprise,    surprise steak chicken pretending steak
surprise,    surprised gets sidetracked mile  chocolate cake
joy,    sweet movie watching reflecting holiday spirit bloodlust gore
surprise,    tea party badly yrs msm calling bigots racists antisemitic owsers praised
sadness,    tell it miss guys classes cant imagine break basketsfullofcats
surprise,    telling you need randomly someones house like we decided come
disgust,    texas offense a playoffs colt hurt  bcs travesty
joy,    thank rts ladies huge piece x
surprise,    thanks guys little slowdown holidays wings st
joy,    thanks suit love find right card
sadness,    thanx ur support bummed   completely mental amazeballs 
sadness,    thats girl awww damn lido deck me
